B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-.022956092,-.08780615,-.15793638,-.15630829,-.11288486,-.080608904,-.0014221362,-.070414692,-.0069816769,-.11763622,-.11073221,-.13983756,-.10623928,-.077540427,-.055505414,-.099545881,-.088794783,.010078696,-.11585294,-.096110791,-.071114689,-.068321742,-.095326647,-.12952185,-.092171982,-.070284247,-.057912163,-.094962582,-.11863931,-.086048007,-.041621707,-.096220613,-.1194219,-.075104713,-.096170545,-.086666405,-.049733795,-.1097685,-.077361695,-.049727917,-.079202652,-.13481337,-.067171417,-.070378408,-.034660406,-.058938686,-.077300832,-.1090474,-.074066631,-.063957259,-.12157425,-.12162025
-.10753426,-.13514748,-.19097844,-.11172353,-.14159144,-.085079938,.0089952378,-.17176682,-.14164142,-.2413687,-.16244726,-.13145167,-.12244776,-.1466542,-.17597893,-.15137525,-.080820918,-.10405163,-.19659947,-.10904084,-.19229487,-.14976598,-.14736605,-.084464803,-.14277059,-.14796983,-.099905774,-.12863706,-.1331162,-.077060662,-.14784253,-.18889582,-.11153396,-.11267523,-.033344205,-.053780336,-.07835497,-.074096933,-.23566045,-.12109683,-.20024234,-.093607016,-.1617693,-.12572517,-.1348787,-.088791072,-.093518585,-.27769518,-.068362996,-.14433564,-.13033558,-.15380999
.039413664,.024150975,-.0061406614,.010067614,-.017523788,.024616878,.027980804,.053233959,.021800991,.0053967056,-.013349003,.039894808,.015313043,-.0096610123,.0084125232,-.0014705257,-.0020898993,.024576971,-.01204092,.0024396656,.022746211,.019677203,.026345078,.015838673,.013471095,-.016304161,.01928658,-.021345608,.015665319,.010715719,.02865587,.0022018538,.015646882,.036704484,.019281672,.019444659,-.008972751,.0091294711,-.015419004,-.020507118,.010724869,.025399959,.034048837,.00046341479,-.0047699986,.008047048,.00013727452,.028866079,.0022912605,-.010629823,.0037591029,.054874606
-.097340375,-.10016086,-.11986096,-.068045959,-.058702178,.0075520077,.00096167537,-.053979572,-.00043642597,-.064981833,-.077563912,-.091614679,-.01992227,-.083655633,-.0054231258,-.077890776,-.020599224,-.069410443,-.0024412395,-.0095753968,-.086925998,-.1094408,-.037038632,-.045793939,-.012529542,-.044649854,-.037705284,-.074949607,-.056516193,-.042145256,-.023716198,-.065250404,-.036142427,-.004441828,-.050590787,-.0030383186,-.038909417,-.025438745,-.11508758,-.056979198,-.023596236,-.061637376,.016037794,.00061643688,-.010907785,.0042416099,-.081999362,-.049407903,.0020838308,-.092993096,-.11029898,-.063584089
-.076752953,-.14360903,-.20402721,-.037270539,-.087875001,-.09562476,-.038078323,-.032617874,-.0048320699,-.15768617,-.12666437,-.11583344,-.061242964,-.15756708,-.097952127,-.11571974,-.014882864,-.19142966,-.13753738,.051772419,-.13761435,-.16340584,-.062013637,-.062420379,-.018640989,-.10590018,-.10822596,-.11600913,-.016474623,-.10317234,-.073734634,-.14623971,-.10830072,-.080104321,-.039118733,-.11670992,-.069372468,-.072102807,-.1588978,-.09024062,-.14287397,-.13187945,-.12338331,-.20726553,.0068019135,-.10665833,-.13212617,-.15687445,-.080182754,-.15157039,-.12276387,-.11154624
.0067894147,.019380761,.035587564,.0022513464,.020572763,.019717064,.065781876,.077571213,.054669239,.054571714,.064647011,.048647553,.040481538,.018623695,.024388202,.037977904,.048853964,.074739903,.0047857687,.063981488,.0607711,.042418674,.09175615,.043881875,.015980655,.093299106,.04727719,.0053252704,.0652228,.10547412,.10211741,-.0063882493,-.003543962,.036647454,.053028606,.050132614,-.011120927,.049177371,.041316845,.01399763,.047753233,.070894726,.046926219,-.018889004,-.0087679708,.03418665,.078526683,.084519424,.078844137,.049892601,.046347637,.078546666
-.060962398,-.082661547,-.018925039,-.025352901,-.0014452999,.0091474708,.011063922,-.038935386,.030458299,.0084047867,-.10693054,-.0066771139,-.045864556,-.0065015834,-.049224652,-.0069962386,-.11549603,-.037152588,-.035240274,.0049616597,-.060532998,-.11841303,-.018109959,-.07310608,-.0024684106,.0017011269,-.088571347,.0068299696,-.11174212,.054316513,-.020264953,-.05662927,-.061612032,-.093690984,-.040980548,-.015606142,.021043926,-.047921024,-.0069348314,-.075961955,-.0042485218,-.069996022,-.0057917889,.00010703629,-.00784129,-.046912674,-.073707849,.027748972,.012923734,-.031655073,-.042550839,-.035340387
-.04379556,-.14474455,-.15457447,-.048061505,-.078508489,-.14238475,.13702074,-.10521616,-.029978018,-.13790116,-.074261859,-.11935302,-.11920598,-.028264668,-.032466296,-.0082815411,.022635287,-.051918797,-.15305606,-.015804337,-.089564331,-.11953147,-.10828898,-.081708848,-.078953631,-.072811447,-.012145903,-.075769678,.010600853,-.099280573,-.024380438,-.14329554,-.031362202,-.081784815,-.031195946,-.10490738,-.057561189,-.10589881,-.12602775,-.077641524,-.016903713,-.040362775,-.071277075,-.10231871,-.025678426,-.075582296,-.0045687575,-.0035766347,-.076803707,-.13347551,-.060793586,-.11795026
.066545218,.057910472,.035940424,.098685652,.063764945,.099649601,.095717117,.053009894,.074542008,.042434566,-.020179765,.10866121,.096657082,.070169203,.082355291,.05834103,.085246578,.13274103,-.032764021,.093262888,.084465995,.07559073,.090089686,.13535662,.057435289,.094964392,.065860406,.040055815,.042457938,.11958463,.10361018,.034003939,-.048208918,.075149871,.043241113,.03790224,.099347591,.06629198,.054057695,.078950323,.072683141,.13073853,.085259967,.10856706,.036064237,.076558068,.12437066,.11054932,.13112812,.092592247,.01239395,.037602071
